Номер,Оператор,Регион
901,МТС,Москва
902,МТС,Московская область
900,Билайн,Хабаровский край
902,Билайн,Приморский край
903,Билайн,Все регионы
904,Билайн,Саратовская область
905,Билайн,Все регионы кроме Дальнего Востока
906,Билайн,Все регионы кроме Дальнего Востока
908,Билайн,Приморский край
909,Билайн,Все регионы
950,Билайн,Саратовская область
951,Билайн,Приморский край
953,Билайн,Приморский край
960,Билайн,Все регионы кроме Урала и Дальнего Востока
961,Билайн,Все регионы кроме Северо-Запада
962,Билайн,Все регионы кроме Северо-Запада
963,Билайн,Все регионы
964,Билайн,Все регионы
965,Билайн,Все регионы
966,Билайн,Все регионы
967,Билайн,Все регионы
968,Билайн,Все регионы
969,Билайн,Все регионы
980,Билайн,Московская область
983,Билайн,Московская область
986,Билайн,Московская область
901,МТС,Московская область
902,МТС,Ивановская область Пензенская область Республика Башкортостан Республика Марий Эл
904,МТС,Республика Башкортостан, Республика Марий Эл
908,МТС,Ивановская область Пензенская область Республика Башкортостан Республика Марий Эл
910,МТС,Центральные регионы
911,МТС,Северо-Запад
912,МТС,Урал
913,МТС,Сибирь
914,МТС,Дальний Восток
915,МТС,Центральные регионы
916,МТС,Москва Московская область
917,МТС,Приволжье Москва Московская область
918,МТС,Юг Северный Кавказ
919,МТС,Центр Урал юг Северный Кавказ, Приволжье
950,МТС,Ивановская область Пензенская область Республика Башкортостан
978,МТС,Краснодарский край
980,МТС,Центральные регионы кроме Москвы и Московской области
981,МТС,Северо-Запад
982,МТС,Урал
983,МТС,Сибирь
984,МТС,Дальний Восток
985,МТС,Москва и Московская область прямые московские номера
987,МТС,Приволжье
988,МТС,Юг, Северный Кавказ
989,МТС,Все регионы
902,МегаФон,Астраханская область Самарская область Ярославская область Чувашская республика, Республика Мордовия
904,МегаФон,Волгоградская область Пензенская область Самарская область Ульяновская область, Республика Мордовия
908,МегаФон,Астраханская область Самарская область Чувашская республика Республика Мордовия, Ульяновская область
920,МегаФон,Центральные регионы Приволжье
921,МегаФон,Северо-Запад
922,МегаФон,Урал
923,МегаФон,Сибирь
924,МегаФон,Дальний Восток
925,МегаФон,Москва, Московская область, прямые московские номера, старый код 495
926,МегаФон,Москва, Московская область
927,МегаФон,Приволжье, кроме Нижегородской области
928,МегаФон,Юг, Северный Кавказ
929,МегаФон,Все регионы
930,МегаФон,Центральные регионы, Приволжье
931,МегаФон,Северо-Запад
932,МегаФон,Центральные регионы
933,МегаФон,Сибирский федеральный округ
934,МегаФон,Дальний Восток
936,МегаФон,Московская область
937,МегаФон,Центральные регионы
938,МегаФон,Юг
939,МегаФон,Центральные регионы
950,МегаФон,Самарская область, Ульяновская область
951,МегаФон,Ярославская область
999,МегаФон,Все регионы
900,Теле2,Все регионы
901,Теле2,Все регионы
902,Теле2,Все регионы
904,Теле2,Иркутская область Кемеровская область Коми Курганская область Курская область, Липецкая область, Пермский край, Ростовская область, Тюменская область, Удмуртия, Ульяновская область, Х
908,Теле2,Все регионы
950,Теле2,Иркутская область Калининградская область Кемеровская область Коми Костромская область, Курская область, Липецкая область, Новгородская область, Оренбургская область, Пермский край, Республика Бурятия, Ростовская область, Сахалинcкая область, Свердловская область, Тульская область, Тюменская область, Удмуртия, Хакасия, Ханты-Мансийский АО, Челябинская область
951,Теле2,Камчатский край Кемеровская область Кировская область Курганская область, Курская область, Липецкая область, Магаданская область, Новгородская область, Оренбургская область, Пермский край, Республика Бурятия, Республика Мордовия, Ростовская область, Удмуртия, Ульяновская область, Ханты-Мансийский АО, Челябинская область, Чувашская республика, Ямало-Ненецкий АО
952,Теле2,Алтайский край Иркутская область Калининградская область Кемеровская область, Краснодарский край, Курская область, Липецкая область, Новгородская область, Пермский край, Республика Адыгея, Республика Мордовия, Республика Тыва, Ростовская область, Тульская область, Тюменская область, Удмуртия, Хакасия, Ханты-Мансийский АО, Челябинская область, Чувашская республика
953,Теле2,Все регионы
958,Теле2,Все регионы
977,Теле2,Москва и Московская область
991,Теле2,Новгородская область, Санкт-Петербург и область
992,Теле2,Курганская область Пермский край Тюменская область, Ханты-Мансийский АО, Челябинская область, Ямало-Ненецкий АО
993,Теле2,Магаданская область Орловская область Республика Тыва Тамбовская область, Хакасия
994,Теле2,Амурская область Камчатский край Магаданская область Сахалинcкая область
995,Теле2,Калмыкия Краснодарский край Республика Адыгея
996,Теле2,Марий Эл Оренбургская область Ульяновская область Чувашская республика
999,Теле2,Костромская область Москва и Московская область Тамбовская область Ярославская область
958,Yota,Ленинградская область Республика Марий Эл Республика Татарстан
991,Yota,Все регионы
995,Yota,Центральные регионы Сибирский федеральный округ Кавказ
996,Yota,Все регионы
999,Yota,Все регионы
